Country,Score
Burkina Faso,8.571
Israel,8.143
Mali,7.998
Pakistan,7.916
Syria,7.89
Afghanistan,7.825
Somalia,7.814
Nigeria,7.575
Myanmar,7.536
Niger,7.274
Iraq,7.078
Cameroon,6.98
Democratic Republic of the Congo,6.514
India,6.324
Mozambique,6.267
Colombia,6.188
Chile,5.679
Kenya,5.616
Philippines,5.383
Egypt,5.221
Chad,4.987
Palestine,4.966
Yemen,4.951
Benin,4.898
Togo,4.67
Iran,4.464
Uganda,4.377
Thailand,4.219
Turkey,4.168
United States,4.161
Indonesia,3.993
Bangladesh,3.317
Sri Lanka,3.072
Greece,3.028
Russia,3.016
Tunisia,2.914
Germany,2.782
France,2.647
Libya,2.469
Burundi,2.434
United Kingdom,2.373
Tanzania,2.267
Angola,2.254
Algeria,2.197
Nepal,2.163
Ivory Coast,2.06
Peru,2.045
Djibouti,2.035
Brazil,1.988
New Zealand,1.947
Belgium,1.904
Canada,1.753
Norway,1.747
Ukraine,1.686
Spain,1.669
Lebanon,1.562
Australia,1.475
Italy,1.447
Central African Republic,1.445
Saudi Arabia,1.366
Argentina,1.274
Ethiopia,1.272
Kosovo,1.218
Japan,1.189
Venezuela,1.174
Slovakia,1.092
Mexico,1.04
Austria,0.953
Tajikistan,0.871
Sweden,0.735
Switzerland,0.627
Cyprus,0.616
China,0.582
Netherlands,0.577
Jordan,0.455
Armenia,0.423
Uzbekistan,0.423
Paraguay,0.241
United Arab Emirates,0.233
Iceland,0.233
Malaysia,0.192
Eswatini,0.18
Ecuador,0.167
Bahrain,0.123
Rwanda,0.114
Uruguay,0.114
Lithuania,0.059
Ireland,0.03
Albania,0
Azerbaijan,0
Bulgaria,0
Bosnia,0
Belarus,0
Bolivia,0
Bhutan,0
Botswana,0
Republic of the Congo,0
Costa Rica,0
Cuba,0
Czech Republic,0
Denmark,0
Dominican Republic,0
Eritrea,0
Estonia,0
Finland,0
Gabon,0
Georgia,0
Ghana,0
Guatemala,0
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Honduras,0
Hungary,0
Jamaica,0
Kazakhstan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lesotho,0
Liberia,0
Madagascar,0
Mauritius,0
Moldova,0
Mongolia,0
Montenegro,0
Morocco,0
Namibia,0
Nicaragua,0
North Korea,0
Oman,0
Panama,0
Papua New Guinea,0
Poland,0
Portugal,0
Qatar,0
Romania,0
Senegal,0
Serbia,0
Sierra Leone,0
Slovenia,0
South Africa,0
South Korea,0
South Sudan,0
Sudan,0
Taiwan,0
The Gambia,0
Timor-Leste,0
Trinidad and Tobago,0
Turkmenistan,0
23,
22,
22,
22,
22,
21,
21,
21,
21,
21,
20,
19,
17,
17,
17,
16,
16,
15,
15,
14,
13,
13,
13,
13,
12,
10,
9,
8,
